"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Forma de Vinculación","Tipo de Vinculación","latitud-longitud"
"305.666",,"2.003","11","14","68250","EL PEÑON","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GUERRILLA","FARC","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.00040397 6.123389691)"
"305.667",,"2.005","4","4","68250","EL PEÑON","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.00040397 6.123389691)"
"305.668",,"2.005","12","29","68250","EL PEÑON","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GUERRILLA","ELN","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-74.00040397 6.123389691)"
"305.669",,"2.003","1","1","68250","EL PEÑON","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GUERRILLA","ELN","0","0","0","0","0","0","0","0","0",,,"1","INDIVIDUAL","RECLUTAMIENTO","POINT (-74.00040397 6.123389691)"
"305.670",,"0","0","0","68250","EL PEÑON","SANTANDER","MAGDALENA MEDIO","COACCIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-74.00040397 6.123389691)"
"305.671",,"2.003","12","27","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","RECLUTAMIENTO","POINT (-73.56475288 6.664260002)"
"305.672","CR042016","1.990","2","8","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","COACCIÓN","AGENTE DEL ESTADO","EJÉRCITO NACIONAL","0","0","0","0","0","0","0","0","0",,,"1","INDIVIDUAL","UTILIZACIÓN","POINT (-73.56475288 6.664260002)"
"305.673",,"2.005","6","28","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.674",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.675",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.676",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.677",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.678",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
"305.679",,"0","0","0","68235","EL CARMEN DE CHUCURI","SANTANDER","MAGDALENA MEDIO","PERSUASIÓN","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"1","SIN INFORMACIÓN","SIN INFORMACIÓN","POINT (-73.56475288 6.664260002)"
